Position Code,Previous Position Code,Position Title,Department,Pay Grade
50000365,P1738,"Assistant, Student Recruitment",Welcome Centre,PE261-6
50000408,,Service and Office Assistant,Administration Office Management,PE261-6
50000409,,Service and Office Assistant,Administration Office Management,PE261-6
50000493,P1882,Service Assistant,Economics,PE261-6
50000494,P1937,"Service Assistant, Student Academic Services",Undergraduate Programs,PE261-6
50000495,P5842,Service Assistant,Institute for Cooperative Education,PE261-6
50000496,P1877,"Assistant, Student Recruitment",Welcome Centre,PE261-6
50000500,P2667A,Service Assistant,MBA Program,PE261-6
50000501,P1733,Service Assistant,"Health, Kinesiology and Applied Physiology",PE261-6
50000502,P1604,Service Assistant,"Office of the Dean, Gina Cody School of Engineering and Computer Science",PE261-6
50000503,P3804B,Service Assistant,Student Success Centre,PE261-6
50000511,P4507,Service Assistant,Financial Aid and Awards,PE261-6
50000525,P4470A,Service and Office Assistant,Administration Office Management,PE261-6
50000527,,Service Assistant,School of Health,PE261-6
50000530,P4780,Service Assistant,Student Success Centre,PE261-6
50000531,P5639,Service Assistant,Graduate Studies,PE261-6
50000535,P1646,Student Recruitment Assistant,Welcome Centre,PE261-6
50001052,P4679,Department Assistant,Government Reporting,PE261-6
50001512,,Service Assistant,"Administration Services, Instructional and Information Technology Services",PE261-6
50001513,,Service Assistant,"Administration Services, Instructional and Information Technology Services",PE261-6
50001514,,Service Assistant,"Administration Services, Instructional and Information Technology Services",PE261-6
50003230,P1987,Service Assistant,Political Science,PE261-6
50013201,,Service Assistant,School of Health,PE261-6
50000499,P3932,"Assistant, Service Center",Leasing and Services,PE262-7
50000529,P3933,"Assistant, Service Center",Leasing and Services,PE262-7
50000532,,"Assistant, Service Center",Leasing and Services,PE262-7
50000533,P4990,"Assistant, Service Centre",Leasing and Services,PE262-7
50000536,P2040C,Service Assistant,Études Françaises,PE262-7
50000537,P5768,Service Assistant,"General Administration, Concordia Continuing Education",PE262-7
50000538,P5770,Service Assistant,"General Administration, Concordia Continuing Education",PE262-7
50000539,P4778,Service Assistant,Dean of Students Office,PE262-7
50000541,P5767,Service Assistant (CCE),"General Administration, Concordia Continuing Education",PE262-7
50000542,P5769,Service Assistant (CCE),"General Administration, Concordia Continuing Education",PE262-7
50000543,P5615,"Assistant, Student Academic Services",FAS Student Academic Services,PE262-7
50000896,P3290B,"Coordinator, Switchboard Service","Administration Services, Instructional and Information Technology Services",PE262-7
50010916,P5897,"Service Assistant, Language Testing Centre (CCE)",Language Test Centre,PE262-7
50010951,,Service Coordinator,School of Health,PE262-7
